row	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
MSTRG.25832	706.884444367633	2.11497606399938	0.355881516067725	5.94292192347774	2.79985812715846e-09	1.33065849954435e-07
MSTRG.2584	61.9176200311452	-5.94024423807246	1.05281094208931	-5.6422706115535	1.67822048382527e-08	6.78621593963629e-07
MSTRG.25851	173.410819847192	-1.91790188270054	0.314297212495019	-6.10219183134158	1.04623697801539e-09	5.50217741880882e-08
MSTRG.25861	241.452663948263	1.00558651524512	0.29664436859537	3.38987225682603	0.000699251993853948	0.00703933178750041
MSTRG.25902	1514.17452725366	1.05744651060734	0.267462910483674	3.95361924647826	7.69778722961051e-05	0.00111908616764005
MSTRG.25969	36.7556484444217	-6.78912301558062	1.55428464194336	-4.36800495377219	1.25386650152776e-05	0.000241827879974012
MSTRG.25985	663.62834054134	2.53613384077889	0.417699235539119	6.07167460458848	1.26583227302386e-09	6.58410349584624e-08
MSTRG.26052	238.666505962707	1.70360585798649	0.223159537450397	7.6340266584625	2.27532833229486e-14	2.25750101752637e-12
MSTRG.26053	686.298204759621	2.04505167713753	0.320723242388845	6.37637503881963	1.81328571065887e-10	1.05126877586632e-08
MSTRG.26091	52954.5356424948	-1.46925800104128	0.340785548191031	-4.3113858813569	1.62234497827804e-05	0.000299394977391138
MSTRG.26095	143.147747444371	-2.10700739355373	0.338585677417811	-6.22296669375565	4.87840972265174e-10	2.69053382067624e-08
MSTRG.26187	391.339133956793	-1.04749917941699	0.265134148794472	-3.95082709707454	7.78815760940155e-05	0.00113051627198915
MSTRG.26213	19.788884272886	5.26959659866914	1.03471777258187	5.09278639867199	3.5283914105364e-07	1.06692498031891e-05
MSTRG.26299	307.573607526975	-1.14594958319609	0.345678069929117	-3.31507747492073	0.000916177286159801	0.00884825910888302
MSTRG.26300	8504.09970936284	-2.99814482767965	0.384190602894967	-7.80379531692843	6.00725961744301e-15	6.60729903523103e-13
MSTRG.26304	10.1292788937762	-3.84305665149241	1.04554530103176	-3.67564815001323	0.000237246314793365	0.00288108332311842
MSTRG.26319	139.221565102502	1.13364872154986	0.305043552404807	3.71635037886478	0.000202121242231358	0.0025164486872375
MSTRG.26381	99701.6858932472	1.08699060144281	0.217757024850671	4.99175905892459	5.98318638182654e-07	1.70109854471783e-05
MSTRG.26407	12.2708613974386	-5.1730323157183	1.41962710960272	-3.64393739787483	0.000268498752389774	0.00318034706830669
MSTRG.26581	204.420743573442	1.71208563877253	0.31983597374883	5.35301147868076	8.65023594937787e-08	2.99999534330856e-06
MSTRG.26583	72.6464352034767	1.3996032804259	0.376109718298965	3.72126327061129	0.000198228641713837	0.00247921045854967
MSTRG.26682	5.43720807992014	5.89440352836451	1.72798854236857	3.411135770776	0.000646928693335797	0.00661640993056718
MSTRG.26726	194.87228976582	-1.51273890350938	0.217478951808612	-6.95579453059269	3.50580512251596e-12	2.64626419600734e-10
MSTRG.26734	208.619033954921	3.76076129703285	0.332627299621717	11.3062316331516	1.22227024618161e-29	4.80127708132725e-27
MSTRG.26737	4724.40609509696	7.14405827727598	0.894345696356384	7.9880277910223	1.37114545966815e-15	1.62912393874646e-13
MSTRG.26741	151.551362430764	6.82609321219468	0.602105334148576	11.3370415856676	8.60028680739818e-30	3.44871500976667e-27
MSTRG.2679	356.785444813056	-1.0510682224124	0.206368241523204	-5.09316847715745	3.52128522486348e-07	1.06692498031891e-05
MSTRG.26807	4265.82301752873	-1.14787228280875	0.146863233257942	-7.81592681398137	5.45600703570443e-15	6.07035973544734e-13
MSTRG.26824	902.420379334091	-1.16737749319159	0.189639824113444	-6.15576131568892	7.47176831304594e-10	3.9949054580419e-08
MSTRG.26825	1834.20903957581	-1.12640880395739	0.203819855992271	-5.52649200183965	3.26697146010325e-08	1.2378477689777e-06
